觸發日期,代號,名稱,收盤,策略狀態,停損價,1Y內最高績效,1Y內最低績效,觸發策略,5日線,20日線,季線(60),20MA乖離率,20日區間振幅,年線位置,年線(240),5日線5日斜率,季線20日斜率,年線20日斜率,距離年線,年線OLS斜率,年線R平方,5日內曾有跳空,5日內曾有爆量,季線扣抵均值,季線扣抵最高,中短期糾結度,今日量比,沉澱天數,前置沉澱扎實度評估
2021/1/4,6669,緯穎,578.9951172,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",565.6657715,67.36% (2021-12-27),-1.73% $$2021-01-07$$,V轉選股,580.66,,590.03,,,,606.81,0.46%,0.71%,1.01%,,,,,,,,,,,
2018/10/1,3017,奇鋐,23.76161194,第一型：短線強勢動能與均線交叉發散?可買進,22.41410446,67.2% (2019-07-24),-28.7% $$2018-10-25$$,右側突破策略,22.92,22.71,22.65,4.64%,9.78%,上,,,,,,,,,,,,,,,
2021/3/26,1605,華新,15.5947876,第一型：短線強勢動能與均線交叉發散?可買進,14.85608482,66.58% (2021-05-10),-0.26% $$2021-04-01$$,右側突破策略,15.3,15.24,14.97,2.34%,4.31%,上,,,,,,,,,,,,,,,
2021/1/11,6669,緯穎,588.9921875,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",568.9980469,65.98% (2022-01-04),0.71% $$2021-01-12$$,V轉選股,584.49,,588.27,,,,607.11,0.66%,0.22%,0.79%,,,,,,,,,,,
2018/4/13,2368,金像電,9.74461174,第一型：短線強勢動能與均線交叉發散?可買進,9.262205124,65.35% (2018-08-31),-10.59% $$2018-05-18$$,右側突破策略,9.46,9.4,9.49,3.63%,9.03%,上,,,,,,,,,,,,,,,
2020/12/31,6669,緯穎,586.492981,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",560.6672974,65.22% (2021-12-27),-2.98% $$2021-01-07$$,V轉選股,580.33,,590.56,,,,606.72,0.11%,0.72%,1.05%,,,,,,,,,,,
2017/7/6,3406,玉晶光,279.7642822,第一型：短線強勢動能與均線交叉發散?可買進,250.3584442,64.96% $$2017-09-05$$,-34.89% (2018-03-07),右側突破策略,258.69,255.59,259.08,9.46%,13.10%,上,,,,,,,,,,,,,,,
2021/1/12,6669,緯穎,593.1575928,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",568.9980469,64.81% (2022-01-04),7.16% $$2021-01-13$$,V轉選股,587.49,,588.05,,,,607.2,1.12%,0.18%,0.75%,,,,,,,,,,,
2023/7/14,2891,中信金,21.31972122,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",20.56429672,64.15% (2024-07-08),-4.82% $$2023-08-17$$,右側突破策略,20.97,20.89,20.23,2.05%,4.42%,上,,,,,,,,,,,,,,,
2017/11/30,1102,亞泥,16.38598442,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",15.59169197,63.38% (2018-08-27),-5.39% $$2017-12-11$$,V轉選股,15.8,,15.89,,,,15.94,0.04%,0.47%,0.24%,,,,,,,,,,,
2025/8/27,3037,欣興,151.6893921,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",133.2271881,613.82% (2026-05-26) (未滿1年),-13.82% $$2025-09-02$$ (未滿1年),右側突破策略,140.21,138.04,123.04,9.89%,9.76%,上,,,,,,,,,,,,,,,
2016/7/13,3008,大立光,2383.898438,第一型：短線強勢動能與均線交叉發散?可買進,2147.385254,60.82% (2017-05-03),-1.73% $$2016-07-14$$,右側突破策略,2266.77,2230.35,2039.89,6.88%,13.97%,上,,,,,,,,,,,,,,,
2021/1/8,6669,緯穎,612.3185425,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",568.9980469,59.66% (2022-01-04),-3.81% $$2021-01-11$$,V轉選股,582.49,,588.31,,,,607.05,0.37%,0.24%,0.83%,,,,,,,,,,,
2016/9/21,3008,大立光,2921.076416,第一型：短線強勢動能與均線交叉發散?可買進,2546.873291,58.67% (2017-08-24),-14.25% $$2016-11-14$$,右側突破策略,2831.73,2782.28,2624.69,4.99%,15.10%,上,,,,,,,,,,,,,,,
